"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"988",988,24,"female","bachelor","currently","in paid work",35000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",2,5,7,1.68,"I am 24 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"989",989,36,"male","master","currently","in paid work",35000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",2,5,8,0.56,"I am 36 and I am a male. I have a master. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"990",990,42,"male","bachelor","currently","in paid work",35000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",2,5,7,0.56,"I am 42 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"991",991,64,"female","upper secondary education","formerly","retired",35000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",2,5,8,0.39,"I am 64 and I am a female. I have a upper secondary education. I am retired. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"992",992,75,"male","bachelor","formerly","retired",35000,"a big city","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",2,1,7,0.56,"I am 75 and I am a male. I have a bachelor. I am retired. My personal income is about 35000. I am a Hindu. I live in a a big city in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"993",993,29,"female","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",1,1,4,0.5,"I am 29 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"994",994,58,"male","lower secondary education","formerly","unemployed and looking for a job",8000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","trust",1,2,6,0.31,"I am 58 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"995",995,47,"female","no education","currently","in paid work",1500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",1,3,4,1.15,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 1500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"996",996,38,"male","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",2,3,5,0.37,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"997",997,42,"female","lower secondary education","formerly","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",1,1,6,0.34,"I am 42 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"998",998,24,"male","bachelor","never","in education",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","trust",2,2,4,1.32,"I am 24 and I am a male. I have a bachelor. I am in education. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"999",999,40,"female","lower secondary education","currently","in paid work",15000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,1,3,0.35,"I am 40 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1000",1000,25,"male","upper secondary education","never","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",1,1,4,0.88,"I am 25 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1001",1001,36,"male","lower secondary education","formerly","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,1,4,0.27,"I am 36 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1002",1002,28,"male","bachelor","never","in education",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",1,3,1,0.6,"I am 28 and I am a male. I have a bachelor. I am in education. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1003",1003,42,"female","bachelor","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","trust",2,3,5,0.38,"I am 42 and I am a female. I have a bachelor. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1004",1004,45,"male","bachelor","currently","in paid work",35000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",1,1,5,0.3,"I am 45 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1005",1005,28,"male","bachelor","formerly","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Third Front","moderate trust",1,1,5,0.81,"I am 28 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1006",1006,29,"female","bachelor","formerly","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",1,3,5,0.56,"I am 29 and I am a female. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1007",1007,28,"female","bachelor","never","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,1,4,0.56,"I am 28 and I am a female. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1008",1008,30,"female","master","currently","in paid work",35000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","little trust",2,5,4,0.57,"I am 30 and I am a female. I have a master. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1009",1009,31,"male","bachelor","formerly","unemployed and looking for a job",15000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,5,5,0.84,"I am 31 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1010",1010,68,"female","upper secondary education","never","Other",35000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",2,1,5,0.29,"I am 68 and I am a female. I have a upper secondary education. I am Other. My personal income is about 35000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1011",1011,27,"female","upper secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",2,1,3,0.37,"I am 27 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1012",1012,26,"female","upper secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","little trust",2,5,5,0.37,"I am 26 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1013",1013,25,"male","bachelor","never","in education",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,5,4,1.32,"I am 25 and I am a male. I have a bachelor. I am in education. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1014",1014,35,"female","upper secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","moderate trust",2,1,4,0.34,"I am 35 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1015",1015,29,"female","upper secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",1,1,4,0.5,"I am 29 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1016",1016,26,"female","lower secondary education","never","apprentice",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",1,3,4,0.3,"I am 26 and I am a female. I have a lower secondary education. I am apprentice. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1017",1017,28,"male","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",1,1,3,0.54,"I am 28 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1018",1018,45,"male","bachelor","formerly","unemployed and looking for a job",1500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Regional Party","moderate trust",2,1,3,0.3,"I am 45 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 1500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1019",1019,23,"female","lower secondary education","never","in education",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",1,1,2,0.65,"I am 23 and I am a female. I have a lower secondary education. I am in education. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1020",1020,47,"male","lower secondary education","currently","in paid work",1500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","moderate trust",1,1,4,0.2,"I am 47 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 1500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1021",1021,30,"female","lower secondary education","never","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",1,3,3,0.3,"I am 30 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1022",1022,33,"female","upper secondary education","never","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",2,1,1,0.3,"I am 33 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1023",1023,49,"male","upper secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","moderate trust",1,1,5,0.33,"I am 49 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1024",1024,43,"male","lower secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Third Front","trust",3,4,8,0.22,"I am 43 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1025",1025,37,"male","primary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Third Front","moderate trust",2,3,5,1.08,"I am 37 and I am a male. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1026",1026,41,"male","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Third Front","moderate trust",2,4,8,0.22,"I am 41 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1027",1027,39,"male","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Third Front","trust",2,3,5,0.22,"I am 39 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1028",1028,32,"female","no education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Center / liberal","Third Front","trust",3,4,7,1.48,"I am 32 and I am a female. I have a no education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1029",1029,35,"male","lower secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",-8,2,5,0.27,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1030",1030,51,"male","lower secondary education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Third Front","trust",2,-8,6,0.33,"I am 51 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1031",1031,30,"male","no education","never","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","trust",3,3,5,2,"I am 30 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1032",1032,33,"female","upper secondary education","never","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Center / liberal","Third Front","moderate trust",2,3,7,0.37,"I am 33 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1033",1033,23,"male","upper secondary education","never","unemployed and looking for a job",4500,"country village","Uttar Pradesh","Muslim","Shiya","Left / center left","Congress","moderate trust",2,4,6,1,"I am 23 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1034",1034,23,"female","upper secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","trust",4,2,7,0.82,"I am 23 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1035",1035,37,"male","lower secondary education","currently","in paid work",8000,"country village","Uttar Pradesh","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","trust",4,4,8,0.27,"I am 37 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1036",1036,29,"male","lower secondary education","currently","in domestic work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","trust",2,2,1,0.32,"I am 29 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1037",1037,33,"male","lower secondary education","currently","in domestic work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","trust",3,3,4,0.32,"I am 33 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
